time,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14
2020-10-18,0.25482430382670423,0.3266497499889462,0.20093737918777402,0.15887577245142143,0.4528010108185909,0.14395474400134906,0.3116399133180241,0.2780169804284824,0.19430878636219814,0.3628395838584514,0.2763547596288383,0.30853194749555607,0.1509444818640414,0.2331363553202322,0.21767644243479398
2020-11-01,0.25125653921590724,0.3496355448142845,0.23002305726318537,0.14351705882470628,0.6261335138444227,0.1433116748011808,0.30981192331561264,0.3849539401430435,0.18191997928557238,0.4597106799175239,0.270259572435072,0.45059146577735715,0.15687578647096828,0.21644959672187283,0.213063699430242
2020-11-15,0.2305782243460067,0.3200953403974334,0.21496321843495106,0.13948585356624113,0.5626829752270752,0.13839814988538643,0.2801118545858102,0.3482041791107503,0.17317259841153593,0.41746497195401877,0.2506053445509631,0.3989595646382867,0.1499429052547466,0.20348721210965404,0.19934055699557793
2020-11-29,0.2202824254639821,0.3148376341290357,0.21136648210671816,0.1366078140960071,0.5790963963041144,0.13398701176527303,0.2675598414615252,0.35332461034889906,0.16826153009680486,0.42071874965227646,0.24411262832203143,0.40593293999655605,0.14586078801155328,0.19766045885679,0.19123050566549515
2020-12-13,0.2094339869913169,0.30939274361026536,0.2076212863467298,0.13317650872275721,0.5907818728745934,0.13046401145435377,0.25502967963686884,0.35866469761035247,0.16273992479572652,0.42140686118203646,0.23795952450242566,0.4129196558184875,0.14254460833942642,0.19182520036983697,0.1833662270326127
2020-12-27,0.19129137992061446,0.2870053154959776,0.19567608771672837,0.12960005414636339,0.5603717184736214,0.12527562680728724,0.23018976546364353,0.33785608867784817,0.15473198936639923,0.39587594963593076,0.22181385705280154,0.37986847704224963,0.1363842231654118,0.18079210627388717,0.16983283879169622
2021-01-10,0.18476398665561652,0.28246286519953595,0.19323320371540637,0.1282496655248838,0.580368922250808,0.12196102962429259,0.2221717898229069,0.3468623536121116,0.1518684623328448,0.39903090083747306,0.2170473280802128,0.3923900946179386,0.13397388944899172,0.17729033163830404,0.1638007240742504
2021-01-24,0.1787466819772802,0.2706899978197407,0.18829230769170424,0.12792378141777633,0.5614765294003279,0.12057669814718902,0.21324234647220897,0.33696142450590677,0.14972949296187663,0.3827229962782415,0.21008340584380658,0.378633374623842,0.13256552882142797,0.1737036987399013,0.15901463306646105
2021-02-07,0.17294591453271216,0.25530312537963407,0.18126030965624437,0.12867272545375708,0.5217670419418498,0.12026143669104986,0.20381564457704524,0.3152598700062602,0.1481044954633894,0.35671930666290536,0.20176242256556048,0.3454563817541447,0.1313556872218846,0.1698144811676924,0.15501670356633063
2021-02-21,0.1644720215076454,0.2367013139047968,0.17127117205749987,0.1263283872794975,0.4752571435589482,0.11673339501262427,0.1917349763978807,0.29315906575519535,0.1434136675023037,0.3262216198663581,0.19019600701278727,0.31985765369576236,0.12686524592019005,0.16261508318215032,0.14846242133425647
2021-03-07,0.15586292539375735,0.21744965077105563,0.16006769139692997,0.12455589223048692,0.4214101183963758,0.11358895369859179,0.17937018194688012,0.26477991411053803,0.1388783859488919,0.2937533862622257,0.17848067291223355,0.27946241442042746,0.12212208934031242,0.1555205529281397,0.14169380132288054
