time,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14,Class_15,Class_16,Class_17,Class_18,Class_19,Class_20,Class_21,Class_22,Class_23,Class_24,Class_25,Class_26,Class_27,Class_28,Class_29
2020-10-18,0.31491127470349006,0.1989294846648566,0.5007532291517468,0.3285933653298899,0.21160064111812152,0.15750577537361168,0.23367646332047784,0.27006657701101133,0.22438747365810688,0.15566089298394448,0.24055450302427422,0.1645474219494463,0.36367455252867725,0.34879377613339674,0.14747997925184828,0.2912768298566845,0.27580564825595477,0.26497199320101844,0.2229872154208414,0.13109620894933716,0.33370176407163565,0.3729322111340845,0.20500333743901658,0.31697946478870825,0.24067086865098816,0.19018434200131654,0.14116185257644875,0.44769391027822897,0.4171396434555828,0.2552311593720552
2020-11-01,0.32088205946065634,0.19412261719648732,0.7091995017387455,0.36093411004797965,0.21017273065464628,0.15062742241412017,0.22393271038192195,0.26232051532921946,0.29377020616604627,0.14453346309023854,0.23347237422398648,0.14903663941721543,0.44955930661884486,0.475485371409326,0.1546534873242049,0.2979022616126846,0.2709964703134828,0.27139603905635623,0.33249951859068605,0.13085048927792825,0.3735815166668241,0.5399728628382059,0.24020525682108562,0.3099767111658833,0.2354435942434714,0.1745649846774828,0.1360834484931821,0.5953935592571489,0.5693320868177943,0.24973189924976727
2020-11-15,0.2941637729087691,0.18333908541910066,0.6404377525230781,0.3305477126322177,0.19713451846592536,0.14469706505209531,0.21090880035922768,0.24346909385009077,0.2630046535057198,0.13968186175229202,0.21394717042794756,0.14478652759162272,0.40915706632696597,0.4289688240189255,0.14808740057514833,0.2747550684471174,0.248930424978672,0.2507118906001248,0.3022480516431089,0.12723032123508035,0.33854928459699624,0.4792593958633179,0.22436493614200748,0.2765700400740079,0.21982523838907045,0.16802255039409203,0.13161531363898746,0.5370514296433591,0.5046961167515073,0.2310686389146447
2020-11-29,0.2855874003974525,0.17729157801661793,0.6633073346104794,0.32711145750259213,0.1892807886051157,0.14057217457367238,0.20611427629261383,0.23680362693721643,0.25965705657643423,0.13594325274328434,0.20351463558498797,0.1420059639363598,0.41139748383200664,0.43876400357214407,0.14418482236596608,0.26915506542338286,0.23921342721196834,0.24402459476448926,0.3030707006677854,0.12231609385793613,0.33165235534197135,0.48476514657428926,0.2210902289230806,0.2607791911853708,0.21279046562362447,0.1647164295400692,0.12757351424357039,0.5473209197673566,0.5213435682529481,0.2220644680682552
2020-12-13,0.2768514113282286,0.17029685772809489,0.6804641795635598,0.32305006542493125,0.18119919588876926,0.13707888019440387,0.20222146021408496,0.23042303655816093,0.2559655212812951,0.13135711909497244,0.19211022800309427,0.13877418929712562,0.41128014225937637,0.44613148219791743,0.14093352341289714,0.26397409523874144,0.2286733462765459,0.23843895587465444,0.3055861842921251,0.11851158925489397,0.3250067417282275,0.49069247191149423,0.21741220110776546,0.24535651490145718,0.20497584333636978,0.16187683561453514,0.12439187927082476,0.5514498425890763,0.5372289167230473,0.21420230743837357
2020-12-27,0.2543355418332647,0.16006674654793165,0.6527145063084305,0.30124462784353007,0.16806298457147908,0.13161587951530343,0.192312910362813,0.21440953072482363,0.23050765878009602,0.12655887961237627,0.1752163705454962,0.13507120704233525,0.3868129456138243,0.4213787158470398,0.13498242882843378,0.24634727388765185,0.20961769367450514,0.2213762845797116,0.28730848612739956,0.1137826527206587,0.2981072164992662,0.45025526937565313,0.2048058678309789,0.2178929478388689,0.19109669415105104,0.15681041531180578,0.11990897024683453,0.5190806139770717,0.5043050699966469,0.1972021454599301
2021-01-10,0.2473883033177523,0.15628891248587604,0.6823214401068456,0.29820941231080617,0.16224809148157895,0.12861250536757238,0.1898672796479487,0.2091182983394199,0.2287260420803608,0.12448668487166632,0.1691134002706734,0.133779172985315,0.38931734013805025,0.43232296878602233,0.13266003104783647,0.24235528660481828,0.20331630376491017,0.21618610902305893,0.2941927306813337,0.10995047635018039,0.2927740895080807,0.4599029254774334,0.20226030478117732,0.20882654059330052,0.18671136994497384,0.15533556616809047,0.11747313477575418,0.5273590386754572,0.5297105942622183,0.19032993607695897
2021-01-24,0.23681200838496524,0.15322770104133027,0.6669777663573739,0.2861125872028309,0.15767445755650614,0.12695254987502222,0.18691050705312923,0.20188354731425195,0.2201403703209114,0.12373607804936176,0.16422227890145075,0.13335322159875088,0.37407220460751633,0.4164900784679177,0.13136363516570465,0.23445945760210607,0.1964078930591282,0.20853828043590206,0.28909860022596023,0.1089617420010074,0.27952923746608,0.43898823441008583,0.19656597585119195,0.2005155122382082,0.18188168714406291,0.1544724489938618,0.1169643096851746,0.5027475702203655,0.515094231018482,0.18361776950474581
2021-02-07,0.22471509565003306,0.150693290915746,0.6264553229308969,0.2694605901559315,0.15389206343458345,0.12589671139889316,0.18311320674706594,0.19359262516127582,0.20330099447170596,0.12431420319922555,0.1599895133838087,0.13378608849844328,0.34976504228814725,0.3866287608992815,0.13016865493059646,0.2241992556485458,0.18905454415759745,0.1991250798175956,0.27420451237350496,0.10985434189258672,0.2622724895322121,0.3981715420792207,0.18836598290284548,0.19238522686885184,0.17664097352653554,0.1538356217042109,0.11745698195904165,0.46366734039699936,0.47441359806074074,0.1769231738422513
2021-02-21,0.20950661973341825,0.14525522382137296,0.5726275128271605,0.24908980814265744,0.14758458798135993,0.12153473672490517,0.17584875233289363,0.1820017151671947,0.19401907174927957,0.12206105735491622,0.15315165066486913,0.13104063597304932,0.32029510295508823,0.3544007780055651,0.1257175701965577,0.21090759932402137,0.17876168093729847,0.18697909052493372,0.2587311606760259,0.10771844834248233,0.24292836667234569,0.3642199824206138,0.17732090440626078,0.18182687128121067,0.16823523759921682,0.1497250215313648,0.11459910850804783,0.4186085126192273,0.4354375742789483,0.16761141975545882
